Name,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,ValueType,Type,Strides,TransactionByte,WordSize
333SP,3712815,3712815,  6.043000,10,5.983941,22217266,49.033546,7.353058,4,CUSP,11176592,128,32
333SP,3712815,3712815,  4.642800,10,5.983941,22217266,63.821340,9.570632,4,CUSPARSE,11176592,128,32
af_shell10,1508065,1508065,  8.944500,10,33.927092,51164260,69.991128,11.440385,4,CUSP,4299625,128,32
af_shell10,1508065,1508065,  5.791100,10,33.927092,51164260,108.103062,17.669963,4,CUSPARSE,4299625,128,32
al2010,252266,252266,  0.415400,10,4.877716,1230482,40.404227,5.924324,4,CUSP,1002582,128,32
al2010,252266,252266,  0.305100,10,4.877716,1230482,55.011196,8.066090,4,CUSPARSE,1002582,128,32
amazon0302,262111,262111,  0.377900,10,4.711275,1234877,44.761619,6.535470,4,CUSP,952801,128,32
amazon0302,262111,262111,  0.214300,10,4.711275,1234877,78.933346,11.524750,4,CUSPARSE,952801,128,32
amazon0312,400727,400727,  0.927700,10,7.986584,3200440,44.854048,6.899731,4,CUSP,2415933,128,32
amazon0312,400727,400727,  0.533700,10,7.986584,3200440,77.967210,11.993405,4,CUSPARSE,2415933,128,32
amazon0601,403394,403394,  0.960300,10,8.397220,3387388,45.689693,7.054854,4,CUSP,2500483,128,32
amazon0601,403394,403394,  0.667900,10,8.397220,3387388,65.692187,10.143399,4,CUSPARSE,2500483,128,32
AS365,3799275,3799275,  8.199000,10,5.984340,22736152,36.983538,5.546079,4,CUSP,16978035,128,32
AS365,3799275,3799275,  6.581100,10,5.984340,22736152,46.075584,6.909529,4,CUSPARSE,16978035,128,32
asia,11950757,11950757,  4.166600,10,2.127330,25423206,96.165826,12.203334,4,CUSP,3960165,128,32
asia,11950757,11950757,  6.296800,10,2.127330,25423206,63.633041,8.074961,4,CUSPARSE,3960165,128,32
belgium_osm,1441295,1441295,  0.595100,10,2.150802,3099940,81.884799,10.418215,4,CUSP,618030,128,32
belgium_osm,1441295,1441295,  0.960500,10,2.150802,3099940,50.733622,6.454846,4,CUSPARSE,618030,128,32
ca-AstroPh,18772,18772,  0.176600,10,21.103772,396160,27.769536,4.486523,4,CUSP,384498,128,32
ca-AstroPh,18772,18772,  0.133200,10,21.103772,396160,36.817568,5.948348,4,CUSPARSE,384498,128,32
ca-CondMat,23133,23133,  0.087300,10,8.080923,186936,27.815578,4.282612,4,CUSP,182622,128,32
