M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,value_type,Type,Strides,TransactionByte,WordSize
10000,10000,  0.337600,10,128.000000,1280000,45.734609,7.582938,4,CUSP,1218539,128,32
10000,10000,  0.147800,10,128.000000,1280000,104.465521,17.320704,4,CUSPARSE,1218539,128,32
10000,10000,  0.012000,10,1.000000,10000,16.667000,1.666667,4,CUSP,9515,128,32
10000,10000,  0.012100,10,1.000000,10000,16.529256,1.652893,4,CUSPARSE,9515,128,32
10000,10000,  0.014000,10,2.000000,20000,22.857429,2.857143,4,CUSP,19074,128,32
10000,10000,  0.013500,10,2.000000,20000,23.704000,2.962963,4,CUSPARSE,19074,128,32
10000,10000,  0.020500,10,4.000000,40000,27.317268,3.902439,4,CUSP,38056,128,32
10000,10000,  0.014500,10,4.000000,40000,38.620966,5.517241,4,CUSPARSE,38056,128,32
10000,10000,  0.033500,10,8.000000,80000,31.044896,4.776119,4,CUSP,76081,128,32
10000,10000,  0.020100,10,8.000000,80000,51.741493,7.960199,4,CUSPARSE,76081,128,32
10000,10000,  0.058200,10,16.000000,160000,34.364330,5.498282,4,CUSP,152270,128,32
10000,10000,  0.032000,10,16.000000,160000,62.500125,10.000000,4,CUSPARSE,152270,128,32
10000,10000,  0.112700,10,32.000000,320000,34.782644,5.678793,4,CUSP,304720,128,32
10000,10000,  0.050600,10,32.000000,320000,77.470435,12.648221,4,CUSPARSE,304720,128,32
10000,10000,  0.175700,10,64.000000,640000,44.166215,7.285145,4,CUSP,609220,128,32
10000,10000,  0.086300,10,64.000000,640000,89.918934,14.831981,4,CUSPARSE,609220,128,32
10000,10000,  0.317700,10,128.000000,1280000,48.599320,8.057916,4,CUSP,1218731,128,32
10000,10000,  0.138800,10,128.000000,1280000,111.239222,18.443804,4,CUSPARSE,1218731,128,32
12000,12000,  0.012700,10,1.000000,12000,18.897953,1.889764,4,CUSP,11518,128,32
12000,12000,  0.013800,10,1.000000,12000,17.391594,1.739130,4,CUSPARSE,11518,128,32
12000,12000,  0.014400,10,2.000000,24000,26.666944,3.333333,4,CUSP,23062,128,32
12000,12000,  0.013500,10,2.000000,24000,28.444741,3.555556,4,CUSPARSE,23062,128,32
12000,12000,  0.023500,10,4.000000,48000,28.595915,4.085106,4,CUSP,46066,128,32
12000,12000,  0.015400,10,4.000000,48000,43.636623,6.233766,4,CUSPARSE,46066,128,32
12000,12000,  0.035000,10,8.000000,96000,35.657257,5.485714,4,CUSP,92150,128,32
12000,12000,  0.021000,10,8.000000,96000,59.428762,9.142857,4,CUSPARSE,92150,128,32
12000,12000,  0.070000,10,16.000000,192000,34.285771,5.485714,4,CUSP,184303,128,32
12000,12000,  0.035800,10,16.000000,192000,67.039218,10.726257,4,CUSPARSE,184303,128,32
12000,12000,  0.134000,10,32.000000,384000,35.104507,5.731343,4,CUSP,368403,128,32
12000,12000,  0.056900,10,32.000000,384000,82.671424,13.497364,4,CUSPARSE,368403,128,32
12000,12000,  0.223400,10,64.000000,768000,41.683098,6.875560,4,CUSP,737058,128,32
12000,12000,  0.105000,10,64.000000,768000,88.685752,14.628571,4,CUSPARSE,737058,128,32
12000,12000,  0.387400,10,128.000000,1536000,47.826546,7.929788,4,CUSP,1474016,128,32
12000,12000,  0.164200,10,128.000000,1536000,112.838027,18.708892,4,CUSPARSE,1474016,128,32
14000,14000,  0.014500,10,1.000000,14000,19.310621,1.931034,4,CUSP,13489,128,32
14000,14000,  0.015000,10,1.000000,14000,18.666933,1.866667,4,CUSPARSE,13489,128,32
14000,14000,  0.016800,10,2.000000,28000,26.666905,3.333333,4,CUSP,27036,128,32
14000,14000,  0.015000,10,2.000000,28000,29.866933,3.733333,4,CUSPARSE,27036,128,32
14000,14000,  0.025500,10,4.000000,56000,30.745255,4.392157,4,CUSP,54060,128,32
14000,14000,  0.015700,10,4.000000,56000,49.936561,7.133758,4,CUSPARSE,54060,128,32
14000,14000,  0.042700,10,8.000000,112000,34.098454,5.245902,4,CUSP,108084,128,32
14000,14000,  0.023900,10,8.000000,112000,60.920669,9.372385,4,CUSPARSE,108084,128,32
14000,14000,  0.080700,10,16.000000,224000,34.696456,5.551425,4,CUSP,216202,128,32
14000,14000,  0.041800,10,16.000000,224000,66.985742,10.717703,4,CUSPARSE,216202,128,32
14000,14000,  0.155400,10,32.000000,448000,35.315341,5.765766,4,CUSP,432469,128,32
14000,14000,  0.065900,10,32.000000,448000,83.277754,13.596358,4,CUSPARSE,432469,128,32
14000,14000,  0.260200,10,64.000000,896000,41.752513,6.887010,4,CUSP,865039,128,32
14000,14000,  0.122500,10,64.000000,896000,88.685747,14.628571,4,CUSPARSE,865039,128,32
14000,14000,  0.452400,10,128.000000,1792000,47.780734,7.922193,4,CUSP,1729983,128,32
14000,14000,  0.190900,10,128.000000,1792000,113.232080,18.774227,4,CUSPARSE,1729983,128,32
16000,16000,  0.014300,10,1.000000,16000,22.377902,2.237762,4,CUSP,15505,128,32
16000,16000,  0.014900,10,1.000000,16000,21.476779,2.147651,4,CUSPARSE,15505,128,32
16000,16000,  0.018700,10,2.000000,32000,27.379893,3.422460,4,CUSP,30998,128,32
16000,16000,  0.015800,10,2.000000,32000,32.405316,4.050633,4,CUSPARSE,30998,128,32
16000,16000,  0.027400,10,4.000000,64000,32.700876,4.671533,4,CUSP,62031,128,32
16000,16000,  0.016400,10,4.000000,64000,54.634390,7.804878,4,CUSPARSE,62031,128,32
16000,16000,  0.047900,10,8.000000,128000,34.739123,5.344468,4,CUSP,124197,128,32
16000,16000,  0.026900,10,8.000000,128000,61.858885,9.516729,4,CUSPARSE,124197,128,32
16000,16000,  0.090900,10,16.000000,256000,35.203564,5.632563,4,CUSP,248177,128,32
16000,16000,  0.046400,10,16.000000,256000,68.965603,11.034483,4,CUSPARSE,248177,128,32
16000,16000,  0.175600,10,32.000000,512000,35.717563,5.831435,4,CUSP,496418,128,32
16000,16000,  0.072300,10,32.000000,512000,86.749710,14.163209,4,CUSPARSE,496418,128,32
16000,16000,  0.296500,10,64.000000,1024000,41.875224,6.907251,4,CUSP,993081,128,32
16000,16000,  0.135700,10,64.000000,1024000,91.495976,15.092115,4,CUSPARSE,993081,128,32
16000,16000,  0.541900,10,128.000000,2048000,45.587754,7.558590,4,CUSP,1985965,128,32
16000,16000,  0.229000,10,128.000000,2048000,107.877747,17.886463,4,CUSPARSE,1985965,128,32
18000,18000,  0.015500,10,1.000000,18000,23.226065,2.322581,4,CUSP,17518,128,32
18000,18000,  0.016200,10,1.000000,18000,22.222469,2.222222,4,CUSPARSE,17518,128,32
18000,18000,  0.019500,10,2.000000,36000,29.538667,3.692308,4,CUSP,35023,128,32
18000,18000,  0.015900,10,2.000000,36000,36.226667,4.528302,4,CUSPARSE,35023,128,32
18000,18000,  0.030400,10,4.000000,72000,33.158026,4.736842,4,CUSP,70098,128,32
18000,18000,  0.019000,10,4.000000,72000,53.052842,7.578947,4,CUSPARSE,70098,128,32
18000,18000,  0.053200,10,8.000000,144000,35.188045,5.413534,4,CUSP,140125,128,32
18000,18000,  0.029200,10,8.000000,144000,64.109726,9.863014,4,CUSPARSE,140125,128,32
18000,18000,  0.101300,10,16.000000,288000,35.538045,5.686081,4,CUSP,280119,128,32
18000,18000,  0.048200,10,16.000000,288000,74.688880,11.950207,4,CUSPARSE,280119,128,32
18000,18000,  0.197400,10,32.000000,576000,35.744701,5.835866,4,CUSP,560471,128,32
18000,18000,  0.080200,10,32.000000,576000,87.980100,14.364090,4,CUSPARSE,560471,128,32
18000,18000,  0.333300,10,64.000000,1152000,41.908203,6.912691,4,CUSP,1121118,128,32
18000,18000,  0.152300,10,64.000000,1152000,91.713749,15.128037,4,CUSPARSE,1121118,128,32
18000,18000,  0.609000,10,128.000000,2304000,45.635475,7.566502,4,CUSP,2241546,128,32
18000,18000,  0.255300,10,128.000000,2304000,108.860180,18.049354,4,CUSPARSE,2241546,128,32
20000,20000,  0.016300,10,1.000000,20000,24.540123,2.453988,4,CUSP,19529,128,32
20000,20000,  0.017100,10,1.000000,20000,23.392047,2.339181,4,CUSPARSE,19529,128,32
20000,20000,  0.021100,10,2.000000,40000,30.331943,3.791469,4,CUSP,38974,128,32
20000,20000,  0.017300,10,2.000000,40000,36.994451,4.624277,4,CUSPARSE,38974,128,32
20000,20000,  0.033700,10,4.000000,80000,33.234540,4.747774,4,CUSP,78031,128,32
20000,20000,  0.018700,10,4.000000,80000,59.893262,8.556150,4,CUSPARSE,78031,128,32
20000,20000,  0.059000,10,8.000000,160000,35.254305,5.423729,4,CUSP,156038,128,32
20000,20000,  0.031300,10,8.000000,160000,66.453802,10.223642,4,CUSPARSE,156038,128,32
20000,20000,  0.111600,10,16.000000,320000,35.842330,5.734767,4,CUSP,311974,128,32
20000,20000,  0.054400,10,16.000000,320000,73.529485,11.764706,4,CUSPARSE,311974,128,32
